"Khung","Chỉ số","Mục tiêu tuần","Kết quả tuần","Xu hướng","Đánh giá","Ý nghĩa quản trị","Ghi chú/Evidence"
"Output","Số bài publish","[X]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo năng lực xuất bản thật","[Link sheet/log]"
"Output","Số bài evergreen mới","[X]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo tiến độ asset dài hạn","[Link sheet/log]"
"Output","Số bài refresh/update","[X]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo năng lực tối ưu lại tài sản cũ","[Link sheet/log]"
"Output","Số site active","[X]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo breadth rollout thực","[Link sheet/log]"
"Quality","Tỷ lệ bài pass QC ngay vòng 1","[X%]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo chất lượng đầu ra AI + human","[Link report]"
"Quality","Tỷ lệ index hoặc tín hiệu index","[X%]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo chất lượng SEO vận hành","[GSC/index sheet]"
"Quality","Backlog URL chưa index đã xử lý","[X URL]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo closure kỹ thuật theo site","[Batch 301/410/inlinks]"
"Leverage","% đầu việc do AI xử lý first-pass","[X%]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo leverage của hệ thống","[Workflow note]"
"Leverage","% đầu việc human giữ ở final QA/decision","[X%]","[Kết quả]","[Tăng/Giảm/Đi ngang]","[Đạt/Một phần/Chưa đạt]","Đo vai trò con người đúng chỗ","[Ops note]"
"Business Impact","Format content thắng tuần này","[Ví dụ: review / why pump / evergreen]","[Kết quả]","[Mới/Cũ/Mở rộng]","[Đã xác nhận/Đang test]","Đo format nên scale","[Link bài / page]"
"Business Impact","Site đáng dồn lực nhất","[Tên site]","[Kết quả]","[Lên/Xuống/Giữ]","[Đã xác nhận/Đang theo dõi]","Giúp quyết định phân bổ lực","[Evidence]"
"Bottleneck","Điểm nghẽn lớn nhất","[Nội dung]","[Kết quả]","[Mới/Cũ]","[Mở/Đã xử lý]","Giúp CEO hiểu đúng vấn đề","[Note]"
"Decision","Quyết định cần chốt","[Nội dung]","[Trạng thái]","[Mới/Cũ]","[Cần chốt/Đã chốt]","Giảm chờ quyết định","[Deadline]"
