"Khung","Chỉ số","Mục tiêu tuần","Kết quả tuần","Xu hướng","Đánh giá","Ý nghĩa quản trị","Ghi chú/Evidence"
"Output","Số bài publish","Chưa khóa mục tiêu số lượng trong report hiện tại","Chưa có bảng đo tập trung","Chưa rõ","Một phần","Đây là lỗ hổng đo lường cần sửa trong tháng 5","Hiện report thiên về workflow/audit hơn volume dashboard"
"Output","Số bài evergreen mới","Bắt đầu chốt evergreen MVP trên 1-2 site","Chưa có output tập trung trong file report tháng 4","Đang mở","Một phần","Đây là chỉ số bắt buộc phải có ở tuần 3-4 tháng 5","Kế hoạch tháng 5 yêu cầu 3 evergreen/site mục tiêu"
"Output","Số bài refresh/update","Chưa khóa thành KPI riêng","Chưa có bảng đo tập trung","Chưa rõ","Chưa đạt","Nên tách riêng refresh khỏi publish mới","Chưa thấy scorecard tập trung"
"Output","Số site active","Phải có bảng trạng thái 100% site","Chưa có bảng trạng thái tập trung trong report tháng 4","Đang mở","Chưa đạt","Đây là KPI nền trước khi CEO tin breadth rollout","Kế hoạch tháng 5 đã yêu cầu bảng trạng thái site"
"Quality","Tỷ lệ bài pass QC ngay vòng 1","Thiết lập được lớp đo tối thiểu","Đã có writing-qc nhưng chưa có % pass tập trung","Đang mở","Một phần","Có hệ QA nhưng chưa có KPI QA","writing-qc là bằng chứng lớp QC"
"Quality","Tỷ lệ index hoặc tín hiệu index","Tập trung đo ở nhóm site ưu tiên","Chưa có bảng index tập trung; mới có bằng chứng site-level và backlog chưa index","Đang mở","Một phần","Cần chuyển từ cảm nhận sang đo theo site","Ưu tiên xử lý backlog URL chưa index"
"Quality","Backlog URL chưa index đã xử lý","Verify 3 site đã xử lý trước và rollout tiếp","Coinlineup/Tokentopnews/TheCCPress đã xử lý trước; tháng 5 cần verify lại","Đang mở rộng","Đúng hướng","Đây là điểm kỹ thuật quan trọng nhất cho closure","Kế hoạch tháng 5 và screaming-frow/new-category"
"Leverage","% đầu việc do AI xử lý first-pass","Duy trì AI ở research/draft/QC/audit batch","Đã chứng minh AI gánh được nhiều lớp workflow","Tăng","Đạt","Đây là lợi thế lớn nhất của team nhỏ","news-flow, writing-qc, integrate-capture-v2"
"Leverage","% đầu việc human giữ ở final QA/decision","Giữ human ở chỗ quyết định quan trọng","Human vẫn giữ angle/final QA/site-specific decision","Ổn định","Đạt","Đúng mô hình Head of Content + 1 human","Phù hợp team nhỏ dùng AI leverage"
"Business Impact","Format content thắng tuần này","Xác định format để scale","Review/research/why pump/why dump ở Coincu là mẫu tham chiếu tốt","Đang mở rộng","Đã xác nhận một phần","Đây là format nên scale sang site khác với topic khác","Đã note trong kế hoạch tháng 5"
"Business Impact","Site đáng dồn lực nhất","Chọn nhóm site trọng tâm","Coinlineup/Tokentopnews/TheCCPress là nhóm ưu tiên technical closure; Coincu là mẫu format content","Giữ","Đã xác nhận","Giúp tách site làm benchmark kỹ thuật và site làm benchmark format","Kế hoạch tháng 5 đã nêu rõ"
"Bottleneck","Điểm nghẽn lớn nhất","Khóa scope và tạo KPI tập trung","Thiếu dashboard vận hành và thiếu bằng chứng outcome tập trung","Cũ","Mở","Đây là điểm CEO cần biết rõ nhất","Nếu không khóa scope sẽ tiếp tục loãng"
"Decision","Quyết định cần chốt","Dồn 6 site hay trải rộng, build thêm hay closure","Chưa chốt trong report hiện tại","Cũ","Cần chốt","Đây là quyết định điều hành quan trọng nhất trước khi qua tháng 6","Decision gate đã ghi trong báo cáo tháng 4/kế hoạch tháng 5"
