"Phần","Nhóm","Mục tiêu/Đầu việc","Trạng thái","Mức độ/Điểm","Giá trị/Kết luận","Bằng chứng/Ghi chú"
"Thông tin chung","Tháng báo cáo","[Ví dụ: Tháng 4/2026]","Thông tin","-","Kỳ báo cáo đang được tổng hợp","-"
"Thông tin chung","Người thực hiện","[Tên]","Thông tin","-","Người phụ trách báo cáo","-"
"Executive Summary","Kết luận ngắn","[Đang đi đúng hướng / Đúng hướng nhưng cần chỉnh / Chưa đúng hướng]","Đánh giá","[X]/10","Kết luận điều hành ngắn gọn cho quản lý","Tóm tắt 2-3 dòng"
"Executive Summary","Trọng tâm tháng","[Trọng tâm 1 / Trọng tâm 2 / Trọng tâm 3]","Thông tin","-","Nêu rõ các trục công việc chính","-"
"Kế hoạch đã note","Đầu việc 1","[Tên đầu việc]","[Hoàn thành / Một phần / Chưa hoàn thành]","[0-100%]","Mức độ hoàn thành so với kế hoạch","[File / repo / log / link]"
"Kế hoạch đã note","Đầu việc 2","[Tên đầu việc]","[Hoàn thành / Một phần / Chưa hoàn thành]","[0-100%]","Mức độ hoàn thành so với kế hoạch","[File / repo / log / link]"
"Kế hoạch đã note","Đầu việc 3","[Tên đầu việc]","[Hoàn thành / Một phần / Chưa hoàn thành]","[0-100%]","Mức độ hoàn thành so với kế hoạch","[File / repo / log / link]"
"Đánh giá","Đã làm được","[Kết quả 1]","Xác nhận","-","Phần đã hoàn thành rõ ràng","[Bằng chứng]"
"Đánh giá","Chưa làm được / chưa đủ bằng chứng","[Hạng mục 1]","Chưa đạt","-","Phần còn thiếu hoặc chưa thể overclaim","[Ghi chú]"
"Đánh giá","Hướng đi","[Đúng hướng / Đúng hướng nhưng cần chỉnh / Chưa đúng hướng]","Đánh giá","-","Nhận định tổng thể","[Lý do ngắn]"
"Sáng kiến ngoài kế hoạch","Sáng kiến 1","[Tên sáng kiến]","Xác nhận","-","Giá trị mới tạo ra ngoài kế hoạch gốc","[Repo / artifact / output]"
"Sáng kiến ngoài kế hoạch","Sáng kiến 2","[Tên sáng kiến]","Xác nhận","-","Giá trị mới tạo ra ngoài kế hoạch gốc","[Repo / artifact / output]"
"KPI","KPI vận hành","[Ví dụ: số site chạy thật / số job thành công / số bài publish]","[Đạt / Một phần / Chưa đạt]","[Số liệu]","Theo dõi vận hành tối thiểu","[Dashboard / log / bảng theo dõi]"
"KPI","KPI kết quả","[Ví dụ: indexation / GSC / traffic / Semrush]","[Đạt / Một phần / Chưa đạt / Chưa có dữ liệu]","[Số liệu]","Chỉ ghi khi có bằng chứng đủ chắc","[Nguồn dữ liệu]"
"Kế hoạch tháng tới","Ưu tiên 1","[Ưu tiên chính]","Kế hoạch","-","Trục công việc tháng sau","[Ghi chú]"
"Kế hoạch tháng tới","Ưu tiên 2","[Ưu tiên chính]","Kế hoạch","-","Trục công việc tháng sau","[Ghi chú]"
"Kế hoạch tháng tới","Ưu tiên 3","[Ưu tiên chính]","Kế hoạch","-","Trục công việc tháng sau","[Ghi chú]"
"Rủi ro / hỗ trợ","Blocker / hỗ trợ cần có","[Nội dung]","Mở","-","Điểm cần quản lý hỗ trợ hoặc ra quyết định","[Ghi chú]"
